COMPOUND              COUNT
have_to               170
thank_you             153
Shadow_Gay            22
out_of                18
Humpty_Dumpty         17
all_gone              10
has_to                10
my_goodness           8
dum_dum               6
Donald_Duck           6
house_bird            6
so_that               5
lots_of               5
each_other            4
night_night           3
Chicken_Little        3
next_to               3
Harvard_Square        3
Captain_Kangaroo      3
Jiminy_Cricket        2
Green_jeans           2
Seven_up              2
cock_a_doodle_doo     2
Jack_a_weasel         2
a_lot_of              2
Do_Bee                2
Mickey_Mouse          1
abra_cadabra          1
what_about            1
as_if                 1
lion_fish             1
because_of            1
Yankee_Doodle         1
dark_time             1
in_case               1
Boston_Common         1
Bunny_Rabbit          1
rolling_steam         1
rock_a_bye            1
ups_a_daisy           1
